date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,result,home_elo,away_elo,elo_diff,is_neutral
2010-05-21,Brittany,Togo,2,1,Corsica Cup,Bastia,France,False,H,1484.0,1484.5708004383525,-0.5708004383525349,0
2010-05-21,Corsica,Gabon,1,1,Corsica Cup,Bastia,France,False,D,1516.0,1527.8292359205172,-11.829235920517249,0
2010-05-21,DR Congo,Saudi Arabia,0,2,Friendly,Schwaz,Austria,True,A,1484.7796189639191,1500.0,-15.22038103608088,1
2010-05-21,Estonia,Finland,2,0,Friendly,Tallinn,Estonia,False,H,1484.0,1500.0338330211207,-16.0338330211207,0
2010-05-22,Turkey,Czech Republic,2,1,Friendly,Harrison,United States,True,H,1516.736306793522,1484.0,32.73630679352209,1
2010-05-23,Croatia,Wales,2,0,Friendly,Osijek,Croatia,False,H,1532.0,1484.7670239808692,47.232976019130774,0
2010-05-24,Argentina,Canada,5,0,Friendly,Buenos Aires,Argentina,False,H,1560.4004097522975,1484.0,76.40040975229749,0
2010-05-24,Australia,New Zealand,2,1,Friendly,Melbourne,Australia,False,H,1515.263693206478,1484.736306793522,30.52738641295582,0
2010-05-24,England,Mexico,3,1,Friendly,London,England,False,H,1520.4873364965476,1584.7180629811387,-64.23072648459106,0
2010-05-24,Japan,South Korea,0,2,Friendly,Saitama,Japan,False,A,1510.0894457365418,1560.9017014679685,-50.8122557314266,0
2010-05-24,Portugal,Cape Verde,0,0,Friendly,Covilhã,Portugal,False,D,1518.095026327795,1500.0,18.09502632779504,0
2010-05-24,South Africa,Bulgaria,1,1,Friendly,Johannesburg,South Africa,False,D,1542.0361083732028,1469.3382373056702,72.69787106753256,0
2010-05-25,Ukraine,Lithuania,4,0,Friendly,Kharkiv,Ukraine,False,H,1500.0,1500.0,0.0,0
2010-05-25,Nigeria,Saudi Arabia,0,0,Friendly,Wattens,Austria,True,D,1532.1630088648712,1515.2995235927722,16.86348527209907,1
2010-05-25,Montenegro,Albania,0,1,Friendly,Podgorica,Montenegro,False,A,1484.0,1516.0,-32.0,0
2010-05-25,United States,Czech Republic,2,4,Friendly,East Hartford,United States,False,A,1484.7023986633528,1469.5031170912061,15.199281572146674,0
2010-05-25,Greece,North Korea,2,2,Friendly,Altach,Austria,True,D,1484.0,1472.3292452102853,11.670754789714692,1
2010-05-25,Georgia,Cameroon,0,0,Friendly,Linz,Austria,True,D,1516.0,1501.2708985505583,14.729101449441714,1
2010-05-25,Armenia,Uzbekistan,3,1,Friendly,Yerevan,Armenia,False,H,1484.0,1484.736306793522,-0.7363067935220897,0
2010-05-25,Republic of Ireland,Paraguay,2,1,Friendly,Dublin,Republic of Ireland,False,H,1484.0,1516.0747088270275,-32.07470882702751,0
2010-05-26,Northern Ireland,Turkey,0,2,Friendly,New Britain,United States,True,A,1484.0,1531.233189702316,-47.23318970231594,1
2010-05-26,Netherlands,Mexico,2,1,Friendly,Freiburg,Germany,True,H,1516.0339081301693,1565.7933723347803,-49.75946420461105,1
2010-05-26,France,Costa Rica,2,1,Friendly,Lens,France,False,H,1484.0,1484.0,0.0,0
